7.428700123730204788e-03,1.269218158269561081e-02,5.564313835630382149e-02,2.069458269065898096e-02,9.282804338699469915e-03,6.300711781286077139e-03,5.078304275305629487e-03,4.561955947717832513e-03,4.469072832723135387e-03,4.757082361964623356e-03,5.565894435051775904e-03
8.097471179623507223e-03,1.383479920586955757e-02,6.065242931864713721e-02,2.255761898056031500e-02,1.011849170739684625e-02,6.867935333275928048e-03,5.535480208615225529e-03,4.972647461075369903e-03,4.871402514554935489e-03,5.185340191893626945e-03,6.066965825244210325e-03
8.634258728119497545e-03,1.475191861079455831e-02,6.467312517814148565e-02,2.405298076992398726e-02,1.078925425012239488e-02,7.323216011527132127e-03,5.902431419063277653e-03,5.302288058856360377e-03,5.194331507510870950e-03,5.529080353232990186e-03,6.469149623111542825e-03
8.903771787161993134e-03,1.521239064860745692e-02,6.669185687862129452e-02,2.480377972447469354e-02,1.112603416479742389e-02,7.551805681056913966e-03,6.086672174133452885e-03,5.467795709213536109e-03,5.356469360724698363e-03,5.701667185133062199e-03,6.671080137267888267e-03
8.845896214437959371e-03,1.511350830499677556e-02,6.625835189835639627e-02,2.464255221420274047e-02,1.105371362302852781e-02,7.502718048383966339e-03,6.047108083040183060e-03,5.432254388549328204e-03,5.321651674530483711e-03,5.664605672135023494e-03,6.627717325095532075e-03
4.385767115339953004e-02,7.493229189517795763e-02,3.285067943688232406e-01,1.221769875195898997e-01,5.480395941243062369e-02,3.719823666771422677e-02,2.998136890891496195e-02,2.693294391197460086e-02,2.638457918526714019e-02,2.808493416152547939e-02,3.286001100344089487e-02
7.871926257429070692e-03,1.344944819427022938e-02,5.896303183292281314e-02,2.192930474454707346e-02,9.836653788589076741e-03,6.676637592781593800e-03,5.381296337470041317e-03,4.834140591482401043e-03,4.735715696195101285e-03,5.040909032561369067e-03,5.897978087633605135e-03
7.202670730020233059e-03,1.230600283537629409e-02,5.395011203712039155e-02,2.006491883281815922e-02,9.000361030764191667e-03,6.109003132377750257e-03,4.923789216506109512e-03,4.423151564741016270e-03,4.333094558462318932e-03,4.612340963847248905e-03,5.396543711014611076e-03
6.688287325242848504e-03,1.142716165619004146e-02,5.009722977192024307e-02,1.863196963207383941e-02,8.357594406443324617e-03,5.672724708885320752e-03,4.572153614029349743e-03,4.107269325083004116e-03,4.023643798355412519e-03,4.282947640466537934e-03,5.011146039490923729e-03
6.542288333068749066e-03,1.117771751539811328e-02,4.900365458566666166e-02,1.822525134139353978e-02,8.175156018108007544e-03,5.548894488964438779e-03,4.472347821118133337e-03,4.017611516904459265e-03,3.935811456402892039e-03,4.189454940671464775e-03,4.901757456760367886e-03
6.833594609929253931e-03,1.167542399170093392e-02,5.118562386662171837e-02,1.903676099104826061e-02,8.539168446351396574e-03,5.795968251534971104e-03,4.671486551523845558e-03,4.196502356512597613e-03,4.111060012171138811e-03,4.375997394734954318e-03,5.120016365892308442e-03
