7.700000000000000000e+01 8.100000000000000000e+01 8.400000000000000000e+01 8.700000000000000000e+01 8.800000000000000000e+01 8.800000000000000000e+01 8.700000000000000000e+01 8.400000000000000000e+01 8.100000000000000000e+01 7.700000000000000000e+01
8.100000000000000000e+01 8.500000000000000000e+01 8.900000000000000000e+01 9.100000000000000000e+01 9.200000000000000000e+01 9.200000000000000000e+01 9.100000000000000000e+01 8.900000000000000000e+01 8.500000000000000000e+01 8.100000000000000000e+01
8.400000000000000000e+01 8.900000000000000000e+01 9.200000000000000000e+01 9.400000000000000000e+01 9.600000000000000000e+01 9.600000000000000000e+01 9.400000000000000000e+01 9.200000000000000000e+01 8.900000000000000000e+01 8.400000000000000000e+01
8.700000000000000000e+01 9.100000000000000000e+01 9.400000000000000000e+01 9.700000000000000000e+01 9.800000000000000000e+01 9.800000000000000000e+01 9.700000000000000000e+01 9.400000000000000000e+01 9.100000000000000000e+01 8.700000000000000000e+01
8.800000000000000000e+01 9.200000000000000000e+01 9.600000000000000000e+01 9.800000000000000000e+01 9.900000000000000000e+01 9.900000000000000000e+01 9.800000000000000000e+01 9.600000000000000000e+01 9.200000000000000000e+01 8.800000000000000000e+01
8.800000000000000000e+01 9.200000000000000000e+01 9.600000000000000000e+01 9.800000000000000000e+01 9.900000000000000000e+01 9.900000000000000000e+01 9.800000000000000000e+01 9.600000000000000000e+01 9.200000000000000000e+01 8.800000000000000000e+01
8.700000000000000000e+01 9.100000000000000000e+01 9.400000000000000000e+01 9.700000000000000000e+01 9.800000000000000000e+01 9.800000000000000000e+01 9.700000000000000000e+01 9.400000000000000000e+01 9.100000000000000000e+01 8.700000000000000000e+01
8.400000000000000000e+01 8.900000000000000000e+01 9.200000000000000000e+01 9.400000000000000000e+01 9.600000000000000000e+01 9.600000000000000000e+01 9.400000000000000000e+01 9.200000000000000000e+01 8.900000000000000000e+01 8.400000000000000000e+01
8.100000000000000000e+01 8.500000000000000000e+01 8.900000000000000000e+01 9.100000000000000000e+01 9.200000000000000000e+01 9.200000000000000000e+01 9.100000000000000000e+01 8.900000000000000000e+01 8.500000000000000000e+01 8.100000000000000000e+01
7.700000000000000000e+01 8.100000000000000000e+01 8.400000000000000000e+01 8.700000000000000000e+01 8.800000000000000000e+01 8.800000000000000000e+01 8.700000000000000000e+01 8.400000000000000000e+01 8.100000000000000000e+01 7.700000000000000000e+01
