0.000000000000000000e+00,8.908435929590382329e+01
1.666666666666666567e+08,5.764267667263708006e+01
3.333333333333333135e+08,3.461418884293303933e+01
5.000000000000000000e+08,1.477860690631621665e+01
6.666666666666666269e+08,1.340717829190649546e+01
8.333333333333332539e+08,5.524030628719255098e+00
1.000000000000000000e+09,9.933658207231331749e-01
1.166666666666666508e+09,9.422366423618740328e+00
1.333333333333333254e+09,1.351846208396446869e+01
1.500000000000000000e+09,6.343546570493607817e+00
