0.000000000000000000e+00,8.908435929590382329e+01
1.666666666666666567e+08,5.662875547965324330e+01
3.333333333333333135e+08,3.488129380838327620e+01
5.000000000000000000e+08,2.254867279244214018e+01
6.666666666666666269e+08,1.087733867390295828e+01
8.333333333333332539e+08,4.133969763629708360e+00
1.000000000000000000e+09,8.579643888077775893e-01
1.166666666666666508e+09,9.287403413333988667e+00
1.333333333333333254e+09,1.549547899865942391e+01
1.500000000000000000e+09,1.134293156501753330e+01
