0.000000000000000000e+00,8.908435929590382329e+01
1.666666666666666567e+08,5.528878148385995672e+01
3.333333333333333135e+08,3.043891597697979634e+01
5.000000000000000000e+08,2.231876296002269200e+01
6.666666666666666269e+08,1.086295903683683051e+01
8.333333333333332539e+08,1.130495687033472763e+01
1.000000000000000000e+09,1.300705415000998499e+01
1.166666666666666508e+09,2.434853255379399339e+00
1.333333333333333254e+09,1.548491029928072749e+01
1.500000000000000000e+09,1.256953416952308622e+01
